"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","metric","time","amend"
"US","R",1.79518936885307,0.0492402478937205,18,1.69173944678622,1.89863929091992,36.4577646466724,2.53254586276287e-18,"Shannon","TP1","BS"
"SL1","R",1.83881502240675,0.0492402478937205,18,1.7353651003399,1.9422649444736,37.3437401528852,1.65266358430499e-18,"Shannon","TP1","BS"
"SL2","R",1.84321897855331,0.0492402478937205,18,1.73976905648646,1.94666890062016,37.4331782921094,1.58383628580176e-18,"Shannon","TP1","BS"
"US","P",1.71089087470663,0.0492402478937205,18,1.60744095263978,1.81434079677348,34.7457811016588,5.95023433511435e-18,"Shannon","TP1","BS"
"SL1","P",1.72161804402483,0.0492402478937205,18,1.61816812195798,1.82506796609168,34.9636347839017,5.32538383872315e-18,"Shannon","TP1","BS"
"SL2","P",1.79497288853475,0.0492402478937205,18,1.6915229664679,1.8984228106016,36.4533682366708,2.53797937576915e-18,"Shannon","TP1","BS"
"US","L",1.88720966695765,0.0165850645176114,18,1.85236573937378,1.92205359454152,113.789709105663,3.55398335905344e-27,"Shannon","TP2","BS"
"SL1","L",1.86740616417824,0.0165850645176114,18,1.83256223659437,1.90225009176211,112.595652684696,4.29605704287849e-27,"Shannon","TP2","BS"
"SL2","L",1.88716399144887,0.0165850645176114,18,1.852320063865,1.92200791903274,113.786955091126,3.55552995802825e-27,"Shannon","TP2","BS"
"US","R",1.8559122182317,0.0165850645176114,18,1.82106829064783,1.89075614581557,111.90262276405,4.80030748694181e-27,"Shannon","TP2","BS"
"SL1","R",1.83769633553875,0.0165850645176114,18,1.80285240795488,1.87254026312262,110.804292234579,5.73151112171394e-27,"Shannon","TP2","BS"
"SL2","R",1.81056002636775,0.0165850645176113,18,1.77571609878389,1.84540395395162,109.16810268933,7.4885850037109e-27,"Shannon","TP2","BS"
"US","P",1.86012530531704,0.0165850645176114,18,1.82528137773317,1.89496923290091,112.156651747831,4.60858193242061e-27,"Shannon","TP2","BS"
"SL1","P",1.83747029524487,0.0165850645176114,18,1.802626367661,1.87231422282873,110.790663086881,5.74419804167443e-27,"Shannon","TP2","BS"
"SL2","P",1.84619853134999,0.0165850645176114,18,1.81135460376612,1.88104245893386,111.31693394316,5.27515663401877e-27,"Shannon","TP2","BS"
"US","L",0.718839386042398,0.436621304969815,18,-0.19846793680749,1.63614670889229,1.64636809486906,0.117035560229255,"InvSimpson.c","TP1","BS"
"SL1","L",0.639859097779394,0.436621304969815,18,-0.277448225070494,1.55716642062928,1.46547841458087,0.16004083329492,"InvSimpson.c","TP1","BS"
"SL2","L",0.798181571273267,0.436621304969815,18,-0.119125751576621,1.71548889412315,1.82808663294259,0.0841598311039213,"InvSimpson.c","TP1","BS"
"US","R",0.438826271815782,0.436621304969815,18,-0.478481051034105,1.35613359466567,1.00505006700514,0.328193337952406,"InvSimpson.c","TP1","BS"
"SL1","R",0.398489252640259,0.436621304969815,18,-0.518818070209629,1.31579657549015,0.912665616873203,0.373481048309867,"InvSimpson.c","TP1","BS"
"SL2","R",0.624891829393368,0.436621304969815,18,-0.29241549345652,1.54219915224326,1.43119866639712,0.169507006094521,"InvSimpson.c","TP1","BS"
"US","P",-0.343365923040604,0.436621304969815,18,-1.26067324589049,0.573941399809284,-0.786415869157695,0.441854937986327,"InvSimpson.c","TP1","BS"
"SL1","P",-0.563824188437866,0.436621304969815,18,-1.48113151128775,0.353483134412022,-1.29133457763094,0.212925317655174,"InvSimpson.c","TP1","BS"
"SL2","P",0.320909446343802,0.436621304969815,18,-0.596397876506086,1.23821676919369,0.734983480400682,0.471817730016617,"InvSimpson.c","TP1","BS"
"US","L",1.28467611171159,0.127585264139875,18,1.01662941827015,1.55272280515303,10.0691574404954,8.03136354716517e-09,"InvSimpson.c","TP2","BS"
"SL1","L",1.25105845450624,0.127585264139875,18,0.983011761064803,1.51910514794768,9.80566574784587,1.20694325511812e-08,"InvSimpson.c","TP2","BS"
"SL2","L",1.31975953357059,0.127585264139875,18,1.05171284012916,1.58780622701203,10.3441376436992,5.29269093989353e-09,"InvSimpson.c","TP2","BS"
"US","R",1.08272983803428,0.127585264139875,18,0.814683144592844,1.35077653147572,8.48632359962242,1.04697861000272e-07,"InvSimpson.c","TP2","BS"
"SL1","R",1.06685192950711,0.127585264139875,18,0.798805236065676,1.33489862294855,8.36187420780425,1.29778151285111e-07,"InvSimpson.c","TP2","BS"
"SL2","R",0.780902563575038,0.127585264139875,18,0.5128558701336,1.04894925701648,6.1206328868741,8.8112242717725e-06,"InvSimpson.c","TP2","BS"
"US","P",1.08440261842169,0.127585264139875,18,0.816355924980252,1.35244931186313,8.49943467791728,1.02367432459248e-07,"InvSimpson.c","TP2","BS"
"SL1","P",1.06134092693629,0.127585264139875,18,0.793294233494849,1.32938762037773,8.31867954415732,1.39885334316353e-07,"InvSimpson.c","TP2","BS"
"SL2","P",1.04566888443404,0.127585264139875,18,0.777622190992604,1.31371557787548,8.19584370878166,1.73365657199239e-07,"InvSimpson.c","TP2","BS"
