"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","amend","eff","LCL","UCL","treat","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"TP2 / TP1","L",NA,0.051343818871165015,18.00000000000002,0.9190626057830454,1.1352025602962705,1,0.4218519153394379,0.6781284722188838,"BS",0.030592396741871822,-0.12176495483511658,0.1829497483188604,"SL-2","Shannon","BS",0.678,", p > 0.1",0.422,20,"t = 0.422, df = 20, p > 0.1","0.0306 [-0.122 to 0.183]"
"TP2 / TP1","R",NA,0.053459156010356265,17.999999999999993,0.9569274803871939,1.1819722823211414,1,1.2250377257972176,0.23635073540788756,"BS",0.08883885261299265,-0.06351849896399599,0.24119620418998092,"SL-0","Shannon","BS",0.236,", p > 0.1",1.23,20,"t = 1.23, df = 20, p > 0.1","0.0888 [-0.0635 to 0.241]"
"TP2 / TP1","R",NA,0.04998550672333193,18.000000000000007,0.8947486001344448,1.1051705240784189,1,-0.11153395243763718,0.9124272560325994,"BS",-0.008088361813921814,-0.16044571339091016,0.14426898976306668,"SL-1","Shannon","BS",0.912,", p > 0.1",-0.112,20,"t = -0.112, df = 20, p > 0.1","-0.00809 [-0.16 to 0.144]"
"TP2 / TP1","R",NA,0.04873005493533432,18.00000000000002,0.8722758114506238,1.077412711835438,1,-0.6175786659301019,0.5445877765390215,"BS",-0.04478635957418236,-0.19714371115117083,0.10757099200280608,"SL-2","Shannon","BS",0.545,", p > 0.1",-0.618,20,"t = -0.618, df = 20, p > 0.1","-0.0448 [-0.197 to 0.108]"
"TP2 / TP1","P",NA,0.058471048718348885,18.000000000000007,1.0466411649822374,1.2927843247272566,1,3.0078106372841957,0.007555946621090714,"BS",0.21812425876075717,0.06576690718376856,0.3704816103377456,"SL-0","Shannon","BS",0.00756,", p = 0.00756**",3.01,20,"t = 3.01, df = 20, p = 0.00756**","0.218 [0.0658 to 0.37]"
"TP2 / TP1","P",NA,0.056554321419981624,17.999999999999993,1.0123314384339803,1.2504058304053576,1,2.3447428223992803,0.030707706708858622,"BS",0.17003905890240523,0.01768170732541692,0.32239641047939377,"SL-1","Shannon","BS",0.0307,", p = 0.0307*",2.34,20,"t = 2.34, df = 20, p = 0.0307*","0.17 [0.0177 to 0.322]"
"TP2 / TP1","P",NA,0.05267748448158138,18.000000000000007,0.9429354344526105,1.1646896660240842,1,0.9320038252136508,0.36366798522357113,"BS",0.06758824542241607,-0.08476910615457249,0.21994559699940464,"SL-2","Shannon","BS",0.364,", p > 0.1",0.932,20,"t = 0.932, df = 20, p > 0.1","0.0676 [-0.0848 to 0.22]"
"linear","L","TP1",0.07721905924630121,36,1.0013175285944764,1.3155054236682424,1,2.0476635957746696,0.04794245656243703,"RW",0.1987583687329637,0.001899540894358838,0.3956171965715685,NA,"Shannon","RW",0.0479,", p = 0.0479*",2.05,40,"t = 2.05, df = 40, p = 0.0479*","0.199 [0.0019 to 0.396]"
"quadratic","L","TP1",0.09396199809247961,36,0.6365863118303416,1.0212719062049256,1,-1.8474702750744547,0.07290969018232507,"RW",-0.31060246733286306,-0.6515719590677809,0.03036702440205494,NA,"Shannon","RW",0.0729,", p = 0.0729.",-1.85,40,"t = -1.85, df = 40, p = 0.0729.","-0.311 [-0.652 to 0.0304]"
"linear","R","TP1",0.06556700694525808,36,0.8502226521868368,1.1170008297441394,1,-0.3835390111478837,0.7035759360522346,"RW",-0.037228570336704826,-0.23408739817530963,0.15963025750189969,NA,"Shannon","RW",0.704,", p > 0.1",-0.384,40,"t = -0.384, df = 40, p > 0.1","-0.0372 [-0.234 to 0.16]"
