"contrast","species","timepoint","SE","df","lower.CL","upper.CL","null","t.ratio","p.value","treat","eff","LCL","UCL","Amendment","metric","amendment","pval","sig","stat","df.r","stat.f","eff_fmt"
"R / P",NA,"TP1",1.6155882175879908,35.35936479786589,0.38274664607319964,13.085206090355546,1,1.1158552995079414,0.5108158033413273,"BS",1.1621631912920194,-1.3855383591342458,3.7098647417182846,"BS","InvSimpson",NA,0.511,", p > 0.1",1.12,40,"t = 1.12, df = 40, p > 0.1","1.16 [-1.39 to 3.71]"
"L / R",NA,"TP2",0.9319448929449512,35.359364797865965,0.22078570406528494,7.5481430579164925,1,0.35374003694584394,0.933480180177104,"control",0.36842021578068684,-2.1792813346455127,2.916121766206887,"control","InvSimpson",NA,0.933,", p > 0.1",0.354,40,"t = 0.354, df = 40, p > 0.1","0.368 [-2.18 to 2.92]"
"L / P",NA,"TP2",0.3971131326826627,35.359364797865965,0.09407949252863342,3.216356201270763,1,-0.8279159267217792,0.68840774610395,"control",-0.862274361151273,-3.4099759115774724,1.6854271892749269,"control","InvSimpson",NA,0.688,", p > 0.1",-0.828,40,"t = -0.828, df = 40, p > 0.1","-0.862 [-3.41 to 1.69]"
"R / P",NA,"TP2",0.30761585337552394,35.35936479786589,0.07287682274274473,2.4914868741050946,1,-1.1816559636676232,0.4717179798116913,"control",-1.23069457693196,-3.778396127358225,1.3170069734943053,"control","InvSimpson",NA,0.472,", p > 0.1",-1.18,40,"t = -1.18, df = 40, p > 0.1","-1.23 [-3.78 to 1.32]"
"L / R",NA,"TP2",0.6958372870895104,35.359364797865965,0.16484979584947426,5.635826139233298,1,-0.05095962438840658,0.9985693538098522,"RW",-0.05307444409000792,-2.6007759945162077,2.4946271063361922,"RW","InvSimpson",NA,0.999,", p > 0.1",-0.051,40,"t = -0.051, df = 40, p > 0.1","-0.0531 [-2.6 to 2.49]"
"L / P",NA,"TP2",0.7327361572457706,35.359364797865965,0.17359145331048534,5.934682812759151,1,0.02061389975710945,0.9997657514488845,"RW",0.021469374691557533,-2.5262321757346426,2.5691709251177572,"RW","InvSimpson",NA,1,", p > 0.1",0.0206,40,"t = 0.0206, df = 40, p > 0.1","0.0215 [-2.53 to 2.57]"
"R / P",NA,"TP2",0.7601943233248516,35.359364797865965,0.18009652735081227,6.157075968451005,1,0.07157352414551603,0.9971799110336346,"RW",0.07454381878156537,-2.4731577316446343,2.622245369207765,"RW","InvSimpson",NA,0.997,", p > 0.1",0.0716,40,"t = 0.0716, df = 40, p > 0.1","0.0745 [-2.47 to 2.62]"
"L / R",NA,"TP2",0.8472569093237559,35.359364797865965,0.20072239749938972,6.8622258749387735,1,0.22177156414942306,0.9732716344485308,"BS",0.2309750635618881,-2.3167264868643116,2.778676613988088,"BS","InvSimpson",NA,0.973,", p > 0.1",0.222,40,"t = 0.222, df = 40, p > 0.1","0.231 [-2.32 to 2.78]"
"L / P",NA,"TP2",0.8849052371699019,35.35936479786589,0.20964160788758823,7.167152664736784,1,0.2819957376573269,0.9571639891994398,"BS",0.2936985347034719,-2.2540030157227933,2.841400085129737,"BS","InvSimpson",NA,0.957,", p > 0.1",0.282,40,"t = 0.282, df = 40, p > 0.1","0.294 [-2.25 to 2.84]"
"R / P",NA,"TP2",0.753991314373496,35.359364797865965,0.17862698155575932,6.106835659921158,1,0.06022417350790379,0.9980024840309039,"BS",0.0627234711415839,-2.484978079284616,2.6104250215677838,"BS","InvSimpson",NA,0.998,", p > 0.1",0.0602,40,"t = 0.0602, df = 40, p > 0.1","0.0627 [-2.48 to 2.61]"
"TP2 / TP1","L",NA,0.46975259343112397,17.99999999999998,0.17061681156586084,2.8676855534822177,1,-0.5322064812998522,0.6010912631280865,"control",-0.5156407239252456,-2.5511682866383274,1.5198868387878355,"control","InvSimpson",NA,0.601,", p > 0.1",-0.532,20,"t = -0.532, df = 20, p > 0.1","-0.516 [-2.55 to 1.52]"
"TP2 / TP1","L",NA,6.821453201290211,17.999999999999964,2.477590569429218,41.64273507510322,1,3.4519114922354057,0.0028446576434970733,"RW",3.3444653594500187,1.3089377967369373,5.3799929221631,"RW","InvSimpson",NA,0.00284,", p = 0.00284**",3.45,20,"t = 3.45, df = 20, p = 0.00284**","3.34 [1.31 to 5.38]"
"TP2 / TP1","L",NA,1.2092312002947316,17.999999999999993,0.4391996440792322,7.381959977222786,1,0.8757349708054193,0.392710806360275,"BS",0.8484763530310013,-1.1870512096820802,2.884003915744083,"BS","InvSimpson",NA,0.393,", p > 0.1",0.876,20,"t = 0.876, df = 20, p > 0.1","0.848 [-1.19 to 2.88]"
"TP2 / TP1","R",NA,0.7919754081458984,17.999999999999964,0.2876499690815154,4.834750182142793,1,0.24555713196468215,0.8088030755678941,"control",0.23791378297765756,-1.797613779735424,2.2734413456907387,"control","InvSimpson",NA,0.809,", p > 0.1",0.246,20,"t = 0.246, df = 20, p > 0.1","0.238 [-1.8 to 2.27]"
"TP2 / TP1","R",NA,1.8736006548433128,17.999999999999964,0.6805024056220468,11.437717653977735,1,1.5277534398534824,0.14395550017579894,"RW",1.4801997295885856,-0.5553278331244953,3.515727292301667,"RW","InvSimpson",NA,0.144,", p > 0.1",1.53,20,"t = 1.53, df = 20, p > 0.1","1.48 [-0.555 to 3.52]"
"TP2 / TP1","R",NA,1.3119071691200532,17.99999999999998,0.4764921394701717,8.008763099989018,1,0.9970877963770222,0.33193800733146017,"BS",0.9660518825046083,-1.0694756802084735,3.00157944521769,"BS","InvSimpson",NA,0.332,", p > 0.1",0.997,20,"t = 0.997, df = 20, p > 0.1","0.966 [-1.07 to 3]"
"TP2 / TP1","P",NA,6.155061486632636,17.999999999999993,2.2355533115221933,37.57463216347137,1,3.2988410907690167,0.0039915044868008695,"control",3.19615951313473,1.1606319504216485,5.231687075847812,"control","InvSimpson",NA,0.00399,", p = 0.00399**",3.3,20,"t = 3.3, df = 20, p = 0.00399**","3.2 [1.16 to 5.23]"
"TP2 / TP1","P",NA,3.392448095798645,17.99999999999998,1.2321564278765536,20.70978325888996,1,2.411783513137176,0.026770982127835023,"RW",2.3367129870865995,0.3011854243735176,4.372240549799681,"RW","InvSimpson",NA,0.0268,", p = 0.0268*",2.41,20,"t = 2.41, df = 20, p = 0.0268*","2.34 [0.301 to 4.37]"
"TP2 / TP1","P",NA,2.811042679928884,17.999999999999993,1.0209866766714089,17.160493834795496,1,2.1318487214031565,0.04705230449069748,"BS",2.0654916026550434,0.029964039941962076,4.101019165368125,"BS","InvSimpson",NA,0.0471,", p = 0.0471*",2.13,20,"t = 2.13, df = 20, p = 0.0471*","2.07 [0.03 to 4.1]"
