"spikeFac","species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","trait","amend","asymp.LCL","asymp.UCL","z.ratio","emmean.bt","LCL.bt","UCL.bt"
"2","lettuce",2.70138757982716,0.155307937291013,17,2.37371647436942,3.0290586852849,17.3937509373095,2.89233968027438e-12,"shoot_moisture","BS",NA,NA,NA,14.900392871628,10.7372228371237,20.6777591465483
"0","radish",3.6004238130463,0.155307937291013,17,3.27275270758856,3.92809491850404,23.1824842686558,2.64551035785595e-14,"shoot_moisture","BS",NA,NA,NA,36.6137485402127,26.3838665440319,50.8100880486437
"1","radish",3.4538994280579,0.155307937291013,17,3.12622832260017,3.78157053351564,22.2390399892187,5.2477846025573e-14,"shoot_moisture","BS",NA,NA,NA,31.6234656241717,22.7878687638761,43.8849103637311
"2","radish",3.46513056788031,0.155307937291013,17,3.13745946242257,3.79280167333805,22.3113552875756,4.97461828779719e-14,"shoot_moisture","BS",NA,NA,NA,31.9806351442817,23.0452451136871,44.3805661075059
"0","pea",2.08033150513977,0.155307937291013,17,1.75266039968203,2.4080026105975,13.3948820738098,1.8387848268152e-10,"shoot_moisture","BS",NA,NA,NA,8.00712287675933,5.76993260195847,11.1117444841142
"1","pea",2.04004961878136,0.155307937291013,17,1.71237851332362,2.3677207242391,13.1355142201055,2.49365171811535e-10,"shoot_moisture","BS",NA,NA,NA,7.69099080700274,5.54212783813906,10.6730377430742
"2","pea",1.83055134665404,0.190212599683575,17,1.42923784074146,2.23186485256661,9.62371236027067,2.7083832815324e-08,"shoot_moisture","BS",NA,NA,NA,6.23732463874789,4.17551557101264,9.31722513962425
"0","lettuce",2.92129675801226,0.303343420951236,18,2.28399587917369,3.55859763685082,9.63032838771167,1.58951193060516e-08,"shoot_root_ratio","RW",NA,NA,NA,18.5653466189001,9.815824999606,35.1139201334315
"1","lettuce",2.41161551913182,0.303343420951236,18,1.77431464029325,3.04891639797039,7.95011644415885,2.67874609565477e-07,"shoot_root_ratio","RW",NA,NA,NA,11.1519628094095,5.8962387067871,21.0924761847405
"2","lettuce",2.65596674686304,0.303343420951236,18,2.01866586802447,3.2932676257016,8.75564315367168,6.62220886039231e-08,"shoot_root_ratio","RW",NA,NA,NA,14.2387446694551,7.52827451910643,26.9307195489998
"0","radish",1.01294805317117,0.303343420951236,18,0.375647174332601,1.65024893200973,3.33927813563494,0.00365044067390939,"shoot_root_ratio","RW",NA,NA,NA,2.75370713556232,1.45593335248202,5.2082761724771
"1","radish",1.25537808573582,0.303343420951236,18,0.618077206897252,1.89267896457439,4.13847144533135,0.000617091136777499,"shoot_root_ratio","RW",NA,NA,NA,3.50916488874776,1.85535714197997,6.63712550958185
"2","radish",1.01597164878507,0.303343420951236,18,0.378670769946501,1.65327252762364,3.34924570178297,0.00357087801447961,"shoot_root_ratio","RW",NA,NA,NA,2.76204583245025,1.46034216805961,5.22404772485101
"0","pea",2.97114449235786,0.303343420951236,18,2.33384361351929,3.60844537119643,9.79465611299836,1.22786613679645e-08,"shoot_root_ratio","RW",NA,NA,NA,19.5142407197901,10.3175219853231,36.9086289723075
"1","pea",3.31274727407977,0.303343420951236,18,2.6754463952412,3.95004815291834,10.9207816793637,2.26481463372141e-09,"shoot_root_ratio","RW",NA,NA,NA,27.4604633568081,14.5188295296418,51.9378677345217
"2","pea",2.54407009649816,0.303343420951236,18,1.90676921765959,3.18137097533672,8.38676536488039,1.24302405384822e-07,"shoot_root_ratio","RW",NA,NA,NA,12.7313836216015,6.73130624478986,24.0797436672625
"0","lettuce",3.11208922848364,0.321596882312634,17,2.43357911639781,3.79059934056946,9.67698817881661,2.4998686454594e-08,"shoot_root_ratio","BS",NA,NA,NA,22.4679360519716,11.399609682052,44.2829328823664
